sample,spot_name,cluster
2,"spot634","2"
2,"spot635","2"
2,"spot636","1"
2,"spot637","1"
2,"spot638","2"
2,"spot639","2"
2,"spot640","2"
2,"spot641","2"
2,"spot642","2"
2,"spot643","1"
2,"spot644","2"
2,"spot645","2"
2,"spot646","2"
2,"spot647","2"
2,"spot648","2"
2,"spot649","2"
2,"spot650","1"
2,"spot651","2"
2,"spot652","2"
2,"spot653","1"
2,"spot654","2"
2,"spot655","2"
2,"spot656","1"
2,"spot657","1"
2,"spot658","2"
2,"spot659","2"
2,"spot660","2"
2,"spot661","2"
2,"spot662","2"
2,"spot663","2"
2,"spot664","1"
2,"spot665","2"
2,"spot666","1"
2,"spot667","2"
2,"spot668","1"
2,"spot669","2"
2,"spot670","2"
2,"spot671","2"
2,"spot672","2"
2,"spot673","2"
2,"spot674","1"
2,"spot675","2"
2,"spot676","2"
2,"spot677","1"
2,"spot678","2"
2,"spot679","2"
2,"spot680","1"
2,"spot681","3"
2,"spot682","1"
2,"spot683","2"
2,"spot684","2"
2,"spot685","2"
2,"spot686","1"
2,"spot687","2"
2,"spot688","2"
2,"spot689","2"
2,"spot690","2"
2,"spot691","2"
2,"spot692","2"
2,"spot693","2"
2,"spot694","2"
2,"spot695","2"
2,"spot696","2"
2,"spot697","2"
2,"spot698","2"
2,"spot699","2"
2,"spot700","2"
3,"spot1101","2"
3,"spot1102","2"
3,"spot1103","2"
3,"spot1104","1"
3,"spot1105","2"
3,"spot1106","2"
3,"spot1107","2"
3,"spot1108","1"
3,"spot1109","2"
3,"spot1110","1"
3,"spot1111","2"
3,"spot1112","2"
3,"spot1113","2"
3,"spot1114","1"
3,"spot1115","1"
3,"spot1116","2"
3,"spot1117","2"
3,"spot1118","2"
3,"spot1119","2"
3,"spot1120","2"
3,"spot1121","1"
3,"spot1122","1"
3,"spot1123","1"
3,"spot1124","3"
3,"spot1125","3"
3,"spot1126","1"
3,"spot1127","1"
3,"spot1128","1"
3,"spot1129","1"
3,"spot1130","4"
3,"spot1131","1"
3,"spot1132","1"
3,"spot1133","1"
3,"spot1134","1"
3,"spot1135","4"
3,"spot1136","1"
3,"spot1137","3"
3,"spot1138","1"
3,"spot1139","3"
3,"spot1140","2"
3,"spot1141","1"
3,"spot1142","3"
3,"spot1143","1"
3,"spot1144","4"
3,"spot1145","1"
3,"spot1146","2"
3,"spot1147","1"
3,"spot1148","1"
3,"spot1149","3"
3,"spot1150","1"
3,"spot1151","1"
3,"spot1152","2"
3,"spot1153","2"
3,"spot1154","1"
3,"spot1155","1"
3,"spot1156","1"
3,"spot1157","1"
3,"spot1158","3"
3,"spot1159","1"
3,"spot1160","1"
3,"spot1161","1"
3,"spot1162","4"
3,"spot1163","2"
3,"spot1164","1"
3,"spot1165","1"
3,"spot1166","1"
3,"spot1167","3"
3,"spot1168","2"
3,"spot1169","1"
3,"spot1170","1"
3,"spot1171","1"
3,"spot1172","4"
3,"spot1173","2"
3,"spot1174","1"
3,"spot1175","4"
3,"spot1176","2"
3,"spot1177","3"
3,"spot1178","3"
3,"spot1179","3"
3,"spot1180","1"
3,"spot1181","1"
3,"spot1182","1"
3,"spot1183","2"
3,"spot1184","2"
3,"spot1185","4"
3,"spot1186","4"
3,"spot1187","4"
3,"spot1188","2"
3,"spot1189","3"
3,"spot1190","1"
3,"spot1191","1"
3,"spot1192","4"
3,"spot1193","1"
3,"spot1194","3"
3,"spot1195","1"
3,"spot1196","1"
3,"spot1197","2"
3,"spot1198","4"
3,"spot1199","2"
3,"spot1200","3"
4,"spot1601","1"
4,"spot1602","1"
4,"spot1603","1"
4,"spot1604","1"
4,"spot1605","1"
4,"spot1606","3"
4,"spot1607","1"
4,"spot1608","2"
4,"spot1609","1"
4,"spot1610","2"
4,"spot1612","2"
4,"spot1613","4"
4,"spot1614","1"
4,"spot1616","1"
4,"spot1617","1"
4,"spot1618","2"
4,"spot1619","1"
4,"spot1620","2"
4,"spot1621","3"
4,"spot1622","2"
4,"spot1623","1"
4,"spot1624","1"
4,"spot1625","3"
4,"spot1626","4"
4,"spot1627","3"
4,"spot1628","3"
4,"spot1629","3"
4,"spot1631","3"
4,"spot1633","1"
4,"spot1634","4"
4,"spot1636","3"
4,"spot1638","0"
4,"spot1639","0"
4,"spot1640","1"
4,"spot1641","3"
4,"spot1643","4"
4,"spot1644","0"
4,"spot1645","3"
4,"spot1646","1"
4,"spot1647","3"
4,"spot1648","4"
4,"spot1649","3"
4,"spot1651","3"
4,"spot1652","0"
4,"spot1653","4"
4,"spot1654","3"
4,"spot1655","1"
4,"spot1656","4"
4,"spot1657","0"
4,"spot1659","3"
4,"spot1661","3"
4,"spot1662","1"
4,"spot1663","3"
4,"spot1664","0"
4,"spot1665","3"
4,"spot1666","3"
4,"spot1667","0"
4,"spot1668","3"
4,"spot1669","4"
4,"spot1671","0"
4,"spot1672","0"
4,"spot1673","3"
4,"spot1674","0"
4,"spot1676","3"
4,"spot1677","3"
4,"spot1678","0"
4,"spot1679","0"
4,"spot1680","4"
4,"spot1681","4"
4,"spot1683","0"
4,"spot1684","0"
4,"spot1685","3"
4,"spot1686","1"
4,"spot1687","0"
4,"spot1689","4"
4,"spot1691","1"
4,"spot1692","0"
4,"spot1695","3"
4,"spot1696","3"
4,"spot1698","1"
4,"spot1699","4"
1,"spot201","3"
1,"spot202","0"
1,"spot203","3"
1,"spot204","3"
1,"spot205","4"
1,"spot206","0"
1,"spot207","3"
1,"spot208","0"
1,"spot209","0"
1,"spot210","4"
1,"spot211","0"
1,"spot212","4"
1,"spot213","3"
1,"spot214","4"
1,"spot215","1"
1,"spot216","0"
1,"spot217","3"
1,"spot218","4"
1,"spot219","3"
1,"spot220","4"
1,"spot221","4"
1,"spot222","1"
1,"spot223","3"
1,"spot224","4"
1,"spot225","3"
1,"spot226","3"
1,"spot227","0"
1,"spot228","3"
1,"spot229","3"
1,"spot230","4"
1,"spot231","1"
1,"spot232","1"
1,"spot233","0"
1,"spot234","3"
1,"spot235","4"
1,"spot236","0"
1,"spot237","3"
1,"spot238","4"
1,"spot239","0"
1,"spot240","1"
1,"spot241","0"
1,"spot242","4"
1,"spot243","0"
1,"spot244","0"
1,"spot245","4"
1,"spot246","3"
