V1,sample,spot_name,cluster
450,1,spot450_1,2
451,1,spot451_1,4
452,1,spot452_1,4
453,1,spot453_1,3
454,1,spot454_1,4
455,1,spot455_1,4
456,1,spot456_1,3
457,1,spot457_1,2
458,1,spot458_1,2
459,1,spot459_1,4
460,1,spot460_1,3
461,1,spot461_1,3
462,1,spot462_1,4
463,1,spot463_1,4
464,1,spot464_1,4
465,1,spot465_1,3
466,1,spot466_1,3
467,1,spot467_1,4
468,1,spot468_1,2
469,1,spot469_1,4
470,1,spot470_1,4
471,1,spot471_1,4
472,1,spot472_1,2
473,1,spot473_1,4
474,1,spot474_1,4
475,1,spot475_1,3
476,1,spot476_1,4
477,1,spot477_1,2
478,1,spot478_1,3
479,1,spot479_1,2
480,1,spot480_1,2
481,1,spot481_1,4
482,1,spot482_1,3
483,1,spot483_1,3
484,1,spot484_1,4
485,1,spot485_1,4
486,1,spot486_1,3
487,1,spot487_1,3
488,1,spot488_1,4
489,1,spot489_1,2
490,1,spot490_1,3
491,1,spot491_1,2
492,1,spot492_1,2
493,1,spot493_1,4
494,1,spot494_1,4
495,1,spot495_1,4
496,1,spot496_1,2
497,1,spot497_1,3
498,1,spot498_1,4
499,1,spot499_1,2
500,1,spot500_1,4
501,3,spot1001_3,2
502,3,spot1002_3,1
503,3,spot1003_3,1
504,3,spot1004_3,4
505,3,spot1005_3,1
506,3,spot1006_3,1
507,3,spot1007_3,1
508,3,spot1008_3,3
509,3,spot1009_3,1
510,3,spot1010_3,1
511,3,spot1011_3,1
512,3,spot1012_3,1
513,3,spot1013_3,1
514,3,spot1014_3,1
515,3,spot1015_3,4
516,3,spot1016_3,1
517,3,spot1017_3,1
518,3,spot1018_3,1
519,3,spot1019_3,1
520,3,spot1020_3,3
521,3,spot1021_3,2
522,3,spot1022_3,1
523,3,spot1023_3,1
524,3,spot1024_3,1
525,3,spot1025_3,1
526,3,spot1026_3,2
527,3,spot1027_3,3
528,3,spot1028_3,3
529,3,spot1029_3,1
530,3,spot1030_3,1
531,3,spot1031_3,1
532,3,spot1032_3,2
533,3,spot1033_3,4
534,3,spot1034_3,1
535,3,spot1035_3,1
536,3,spot1036_3,1
537,3,spot1037_3,1
538,3,spot1038_3,4
539,3,spot1039_3,1
540,3,spot1040_3,1
541,3,spot1041_3,4
542,3,spot1042_3,1
543,3,spot1043_3,2
544,3,spot1044_3,2
545,3,spot1045_3,3
546,3,spot1046_3,1
547,3,spot1047_3,2
548,3,spot1048_3,1
549,3,spot1049_3,1
550,3,spot1050_3,1
551,3,spot1051_3,1
552,3,spot1052_3,4
553,3,spot1053_3,1
554,3,spot1054_3,1
555,3,spot1055_3,2
556,3,spot1056_3,3
557,3,spot1057_3,1
558,3,spot1058_3,2
559,3,spot1059_3,1
560,3,spot1060_3,1
561,3,spot1061_3,2
562,3,spot1062_3,1
563,3,spot1063_3,3
564,3,spot1064_3,1
565,3,spot1065_3,1
566,3,spot1066_3,1
567,3,spot1067_3,1
568,3,spot1068_3,1
569,3,spot1069_3,1
570,3,spot1070_3,1
571,3,spot1071_3,1
572,3,spot1072_3,1
573,3,spot1073_3,1
574,3,spot1074_3,1
575,3,spot1075_3,3
576,3,spot1076_3,1
577,3,spot1077_3,3
578,3,spot1078_3,1
579,3,spot1079_3,1
580,3,spot1080_3,1
581,3,spot1081_3,1
582,3,spot1082_3,1
583,3,spot1083_3,3
584,3,spot1084_3,3
585,3,spot1085_3,1
586,3,spot1086_3,1
587,3,spot1087_3,1
588,3,spot1088_3,1
589,3,spot1089_3,3
590,3,spot1090_3,1
591,3,spot1091_3,1
592,3,spot1092_3,1
593,3,spot1093_3,1
594,3,spot1094_3,3
595,3,spot1095_3,3
