V1,sample,spot_name,cluster
631,3,spot1131_3,2
632,3,spot1132_3,4
633,3,spot1133_3,2
634,3,spot1134_3,2
635,3,spot1135_3,2
636,3,spot1136_3,2
637,3,spot1137_3,2
638,3,spot1138_3,2
639,3,spot1139_3,2
640,3,spot1140_3,2
641,3,spot1141_3,2
642,3,spot1142_3,2
643,3,spot1143_3,2
644,3,spot1144_3,1
645,3,spot1145_3,2
646,3,spot1146_3,2
647,3,spot1147_3,2
648,3,spot1148_3,2
649,3,spot1149_3,2
650,3,spot1150_3,2
651,3,spot1151_3,2
652,3,spot1152_3,2
653,3,spot1153_3,2
654,3,spot1154_3,2
655,3,spot1155_3,2
656,3,spot1156_3,2
657,3,spot1157_3,2
658,3,spot1158_3,2
659,3,spot1159_3,2
660,3,spot1160_3,2
661,3,spot1161_3,2
662,3,spot1162_3,2
663,3,spot1163_3,2
664,3,spot1164_3,2
665,3,spot1165_3,2
666,3,spot1166_3,2
667,3,spot1167_3,2
668,3,spot1168_3,2
669,3,spot1169_3,2
670,3,spot1170_3,2
671,3,spot1171_3,2
672,3,spot1172_3,2
673,3,spot1173_3,2
674,3,spot1174_3,2
675,3,spot1175_3,2
676,3,spot1176_3,2
677,3,spot1177_3,2
678,3,spot1178_3,2
679,3,spot1179_3,2
680,3,spot1180_3,2
681,3,spot1181_3,2
682,3,spot1182_3,2
683,3,spot1183_3,2
684,3,spot1184_3,2
685,3,spot1185_3,2
686,3,spot1186_3,2
687,3,spot1187_3,2
688,3,spot1188_3,2
689,3,spot1189_3,2
690,3,spot1190_3,2
691,3,spot1191_3,2
692,3,spot1192_3,2
693,3,spot1193_3,2
694,3,spot1194_3,2
695,3,spot1195_3,2
696,3,spot1196_3,2
697,3,spot1197_3,2
698,3,spot1198_3,2
699,3,spot1199_3,2
700,3,spot1200_3,2
701,3,spot1201_3,1
702,3,spot1202_3,1
703,3,spot1203_3,1
704,3,spot1204_3,1
705,3,spot1205_3,1
706,3,spot1206_3,1
707,3,spot1207_3,1
708,3,spot1208_3,1
709,3,spot1209_3,1
710,3,spot1210_3,1
711,3,spot1211_3,1
712,3,spot1212_3,1
713,3,spot1213_3,1
714,3,spot1214_3,1
715,3,spot1215_3,1
716,3,spot1216_3,1
717,3,spot1217_3,2
718,3,spot1218_3,1
719,3,spot1219_3,1
720,3,spot1220_3,1
721,3,spot1221_3,1
722,3,spot1222_3,1
723,3,spot1223_3,1
724,3,spot1224_3,1
725,3,spot1225_3,1
726,3,spot1226_3,1
727,3,spot1227_3,1
728,3,spot1228_3,1
729,3,spot1229_3,1
730,3,spot1230_3,1
731,3,spot1231_3,1
732,3,spot1232_3,1
733,3,spot1233_3,1
734,3,spot1234_3,1
735,3,spot1235_3,1
736,3,spot1236_3,1
737,3,spot1237_3,1
738,3,spot1238_3,1
739,3,spot1239_3,1
740,3,spot1240_3,1
741,3,spot1241_3,1
742,3,spot1242_3,1
743,3,spot1243_3,1
744,3,spot1244_3,1
745,3,spot1245_3,1
746,3,spot1246_3,1
