"sample","spot_name","cluster"
3,"spot1248","2"
3,"spot1249","2"
3,"spot1250","2"
3,"spot1251","2"
3,"spot1252","1"
3,"spot1253","2"
3,"spot1254","2"
3,"spot1255","2"
3,"spot1256","2"
3,"spot1257","4"
3,"spot1258","2"
3,"spot1259","4"
3,"spot1260","2"
3,"spot1261","2"
3,"spot1262","2"
3,"spot1263","2"
3,"spot1264","2"
3,"spot1265","2"
3,"spot1266","4"
3,"spot1267","2"
3,"spot1268","2"
3,"spot1269","2"
3,"spot1270","2"
3,"spot1271","2"
3,"spot1272","2"
3,"spot1273","2"
3,"spot1274","2"
3,"spot1275","6"
3,"spot1276","2"
3,"spot1277","4"
3,"spot1278","2"
3,"spot1279","2"
3,"spot1280","2"
3,"spot1281","2"
3,"spot1282","2"
3,"spot1283","4"
3,"spot1284","2"
3,"spot1285","2"
3,"spot1286","3"
3,"spot1287","4"
3,"spot1288","4"
3,"spot1289","2"
3,"spot1290","2"
3,"spot1291","2"
3,"spot1292","2"
3,"spot1293","4"
3,"spot1294","2"
3,"spot1295","2"
3,"spot1296","2"
3,"spot1297","2"
3,"spot1298","2"
3,"spot1299","2"
3,"spot1300","2"
3,"spot1301","1"
3,"spot1302","3"
3,"spot1303","2"
3,"spot1304","2"
3,"spot1305","2"
3,"spot1306","2"
3,"spot1307","2"
3,"spot1308","2"
3,"spot1309","2"
3,"spot1310","2"
3,"spot1311","2"
3,"spot1312","2"
3,"spot1313","2"
3,"spot1314","2"
3,"spot1315","2"
3,"spot1316","2"
3,"spot1317","2"
3,"spot1318","2"
3,"spot1319","2"
3,"spot1320","4"
3,"spot1321","4"
3,"spot1322","2"
3,"spot1323","2"
3,"spot1324","2"
3,"spot1325","2"
3,"spot1326","2"
3,"spot1327","2"
3,"spot1328","2"
3,"spot1329","2"
3,"spot1330","1"
3,"spot1331","4"
3,"spot1332","4"
3,"spot1333","2"
3,"spot1334","5"
3,"spot1335","5"
3,"spot1336","5"
3,"spot1337","0"
3,"spot1338","5"
3,"spot1339","0"
3,"spot1340","5"
3,"spot1341","6"
3,"spot1342","5"
3,"spot1343","4"
3,"spot1344","5"
3,"spot1345","0"
3,"spot1346","0"
3,"spot1347","5"
3,"spot1348","0"
3,"spot1349","0"
3,"spot1350","5"
3,"spot1351","5"
3,"spot1352","5"
3,"spot1353","5"
3,"spot1354","0"
3,"spot1355","0"
3,"spot1356","5"
3,"spot1357","5"
3,"spot1358","0"
3,"spot1359","5"
3,"spot1360","5"
3,"spot1361","5"
3,"spot1362","0"
3,"spot1363","5"
3,"spot1364","5"
3,"spot1365","5"
3,"spot1366","5"
3,"spot1367","5"
3,"spot1368","5"
3,"spot1369","5"
3,"spot1370","5"
3,"spot1371","5"
3,"spot1372","0"
3,"spot1373","5"
3,"spot1374","5"
3,"spot1375","5"
3,"spot1376","0"
3,"spot1377","5"
3,"spot1378","5"
3,"spot1379","0"
3,"spot1380","0"
3,"spot1381","5"
3,"spot1382","5"
3,"spot1383","0"
3,"spot1384","0"
3,"spot1385","5"
3,"spot1386","5"
3,"spot1387","0"
3,"spot1388","0"
3,"spot1389","5"
3,"spot1390","5"
3,"spot1391","5"
3,"spot1392","5"
3,"spot1393","0"
3,"spot1394","5"
3,"spot1395","5"
3,"spot1396","0"
3,"spot1397","0"
3,"spot1398","5"
3,"spot1399","5"
3,"spot1400","5"
4,"spot1701","0"
4,"spot1704","0"
4,"spot1705","0"
4,"spot1707","5"
4,"spot1710","5"
4,"spot1711","5"
4,"spot1712","0"
4,"spot1713","5"
4,"spot1714","0"
4,"spot1715","5"
4,"spot1716","5"
4,"spot1717","5"
4,"spot1718","5"
4,"spot1721","0"
4,"spot1722","6"
4,"spot1723","0"
4,"spot1724","0"
4,"spot1725","0"
4,"spot1728","0"
4,"spot1729","0"
4,"spot1731","0"
4,"spot1732","0"
4,"spot1734","1"
4,"spot1735","0"
4,"spot1736","0"
4,"spot1737","0"
4,"spot1738","6"
4,"spot1739","0"
4,"spot1742","0"
4,"spot1743","0"
4,"spot1744","0"
4,"spot1745","0"
4,"spot1746","1"
4,"spot1747","0"
4,"spot1749","5"
4,"spot1750","0"
4,"spot1752","4"
4,"spot1753","0"
4,"spot1755","0"
4,"spot1756","0"
4,"spot1757","0"
4,"spot1758","0"
4,"spot1760","0"
4,"spot1761","0"
4,"spot1762","0"
4,"spot1763","0"
4,"spot1764","0"
4,"spot1765","0"
4,"spot1766","0"
4,"spot1767","0"
4,"spot1769","0"
4,"spot1772","0"
4,"spot1775","0"
4,"spot1777","0"
4,"spot1778","0"
4,"spot1779","0"
4,"spot1781","5"
4,"spot1782","6"
4,"spot1783","0"
4,"spot1784","0"
4,"spot1785","0"
4,"spot1786","0"
4,"spot1787","0"
4,"spot1788","0"
4,"spot1789","1"
4,"spot1790","0"
4,"spot1792","0"
4,"spot1793","0"
4,"spot1794","0"
4,"spot1795","0"
4,"spot1796","0"
4,"spot1797","0"
4,"spot1798","3"
4,"spot1799","5"
4,"spot1800","0"
4,"spot1801","0"
4,"spot1802","6"
4,"spot1803","0"
4,"spot1804","0"
4,"spot1805","5"
4,"spot1806","0"
4,"spot1807","0"
4,"spot1809","0"
4,"spot1810","5"
4,"spot1811","3"
4,"spot1812","0"
4,"spot1813","0"
4,"spot1814","0"
4,"spot1815","0"
4,"spot1816","0"
4,"spot1817","5"
4,"spot1818","4"
4,"spot1819","6"
4,"spot1820","0"
4,"spot1821","0"
4,"spot1822","3"
4,"spot1823","0"
4,"spot1824","0"
4,"spot1825","0"
4,"spot1826","0"
4,"spot1830","1"
4,"spot1831","0"
4,"spot1832","1"
4,"spot1833","3"
4,"spot1836","0"
4,"spot1837","3"
4,"spot1838","2"
4,"spot1839","2"
4,"spot1840","0"
4,"spot1841","0"
4,"spot1842","0"
4,"spot1844","0"
4,"spot1846","0"
4,"spot1847","1"
4,"spot1848","0"
4,"spot1849","0"
4,"spot1850","2"
4,"spot1851","3"
4,"spot1853","0"
4,"spot1854","0"
4,"spot1855","1"
4,"spot1856","0"
4,"spot1858","1"
4,"spot1859","0"
4,"spot1860","0"
4,"spot1861","0"
4,"spot1862","0"
4,"spot1863","0"
4,"spot1864","0"
4,"spot1865","0"
4,"spot1866","0"
4,"spot1867","0"
4,"spot1868","0"
4,"spot1869","0"
4,"spot1870","0"
4,"spot1871","0"
4,"spot1872","3"
4,"spot1873","0"
4,"spot1874","0"
4,"spot1876","0"
4,"spot1877","0"
4,"spot1878","1"
4,"spot1879","0"
4,"spot1880","0"
4,"spot1881","0"
4,"spot1882","3"
4,"spot1884","6"
4,"spot1885","1"
4,"spot1887","0"
4,"spot1888","0"
4,"spot1889","0"
4,"spot1890","0"
4,"spot1891","0"
4,"spot1892","1"
4,"spot1893","2"
4,"spot1894","0"
4,"spot1895","0"
4,"spot1896","0"
4,"spot1898","3"
4,"spot1899","1"
4,"spot1900","1"
1,"spot401","3"
1,"spot402","0"
1,"spot403","0"
1,"spot404","0"
1,"spot405","0"
1,"spot406","0"
1,"spot407","2"
1,"spot408","1"
1,"spot409","0"
1,"spot410","3"
1,"spot411","0"
1,"spot412","0"
1,"spot413","0"
1,"spot414","2"
1,"spot415","0"
1,"spot416","0"
1,"spot417","0"
1,"spot418","0"
1,"spot419","0"
1,"spot420","1"
1,"spot421","3"
1,"spot422","0"
1,"spot423","0"
1,"spot424","3"
1,"spot425","0"
1,"spot426","0"
1,"spot427","2"
1,"spot428","0"
1,"spot429","0"
1,"spot430","0"
1,"spot431","2"
1,"spot432","0"
1,"spot433","2"
1,"spot434","0"
1,"spot435","1"
1,"spot436","0"
1,"spot437","3"
1,"spot438","0"
1,"spot439","0"
1,"spot440","0"
1,"spot441","1"
1,"spot442","0"
1,"spot443","0"
1,"spot444","0"
1,"spot445","0"
1,"spot446","1"
1,"spot447","0"
1,"spot448","0"
1,"spot449","0"
1,"spot450","0"
1,"spot451","0"
1,"spot452","1"
1,"spot453","0"
1,"spot454","0"
1,"spot455","1"
1,"spot456","2"
1,"spot457","0"
1,"spot458","0"
1,"spot459","0"
1,"spot460","0"
1,"spot461","0"
1,"spot462","0"
1,"spot463","0"
1,"spot464","2"
1,"spot465","3"
1,"spot466","4"
1,"spot467","0"
1,"spot468","0"
1,"spot469","2"
1,"spot470","0"
1,"spot471","0"
1,"spot472","0"
1,"spot473","0"
1,"spot474","0"
1,"spot475","3"
1,"spot476","0"
1,"spot477","0"
1,"spot478","0"
1,"spot479","0"
1,"spot480","1"
1,"spot481","3"
1,"spot482","0"
1,"spot483","1"
1,"spot484","1"
1,"spot485","0"
1,"spot486","1"
1,"spot487","0"
1,"spot488","1"
1,"spot489","0"
1,"spot490","0"
1,"spot491","0"
1,"spot492","1"
1,"spot493","1"
1,"spot494","0"
1,"spot495","2"
1,"spot496","3"
1,"spot497","1"
1,"spot498","3"
1,"spot499","1"
1,"spot500","1"
4,"spot1901","0"
4,"spot1902","0"
4,"spot1903","1"
4,"spot1904","0"
4,"spot1905","1"
4,"spot1906","1"
4,"spot1907","1"
4,"spot1908","1"
4,"spot1910","1"
4,"spot1911","1"
4,"spot1912","1"
4,"spot1913","0"
4,"spot1914","1"
4,"spot1916","0"
4,"spot1917","1"
4,"spot1919","1"
4,"spot1920","1"
4,"spot1921","1"
4,"spot1922","1"
4,"spot1923","0"
4,"spot1925","1"
4,"spot1926","1"
4,"spot1929","0"
4,"spot1930","1"
4,"spot1931","1"
4,"spot1932","1"
4,"spot1934","1"
4,"spot1936","0"
4,"spot1938","1"
4,"spot1939","1"
4,"spot1941","1"
4,"spot1942","1"
4,"spot1943","1"
4,"spot1945","1"
4,"spot1946","1"
4,"spot1948","1"
4,"spot1950","1"
4,"spot1952","1"
4,"spot1953","1"
4,"spot1954","1"
4,"spot1955","1"
4,"spot1956","1"
4,"spot1958","1"
4,"spot1959","1"
4,"spot1960","1"
4,"spot1962","1"
4,"spot1963","1"
4,"spot1964","1"
4,"spot1965","1"
4,"spot1966","1"
4,"spot1967","1"
4,"spot1968","0"
4,"spot1969","1"
4,"spot1971","0"
4,"spot1973","1"
4,"spot1975","1"
4,"spot1976","1"
4,"spot1977","1"
4,"spot1979","1"
4,"spot1980","1"
4,"spot1981","1"
4,"spot1982","1"
4,"spot1983","1"
4,"spot1984","1"
4,"spot1985","1"
4,"spot1987","1"
4,"spot1988","0"
4,"spot1989","1"
4,"spot1990","1"
4,"spot1992","0"
4,"spot1993","0"
4,"spot1994","2"
4,"spot1995","1"
4,"spot1996","0"
4,"spot1997","1"
4,"spot1998","1"
4,"spot1999","1"
4,"spot2000","1"
